"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/20/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/21/2015","AQS","180970057","1","0.1","ppb","0","Indpls- Harding St.","22","92.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/22/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/23/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/24/2015","AQS","180970057","1","1.8","ppb","1","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/25/2015","AQS","180970057","1","0.7","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/26/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/27/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/28/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","22","92.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/29/2015","AQS","180970057","1","14.6","ppb","20","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/30/2015","AQS","180970057","1","10.1","ppb","14","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"03/31/2015","AQS","180970057","1","1.1","ppb","1","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/01/2015","AQS","180970057","1","2.8","ppb","3","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/02/2015","AQS","180970057","1","41.7","ppb","57","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/03/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/04/2015","AQS","180970057","1","0.8","ppb","0","Indpls- Harding St.","22","92.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/05/2015","AQS","180970057","1","4.5","ppb","6","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/06/2015","AQS","180970057","1","28.1","ppb","40","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/07/2015","AQS","180970057","1","3.2","ppb","4","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/08/2015","AQS","180970057","1","7","ppb","10","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/09/2015","AQS","180970057","1","33.7","ppb","47","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/10/2015","AQS","180970057","1","2.2","ppb","3","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/11/2015","AQS","180970057","1","17.1","ppb","24","Indpls- Harding St.","22","92.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/12/2015","AQS","180970057","1","34.7","ppb","49","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/13/2015","AQS","180970057","1","22.1","ppb","31","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/14/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/15/2015","AQS","180970057","1","42.1","ppb","59","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/16/2015","AQS","180970057","1","28.5","ppb","40","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/17/2015","AQS","180970057","1","1","ppb","1","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/18/2015","AQS","180970057","1","4.7","ppb","6","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/19/2015","AQS","180970057","1","0.6","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/20/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/21/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/22/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/23/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/24/2015","AQS","180970057","1","23.5","ppb","33","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/25/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"04/26/2015","AQS","180970057","1","0","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/07/2015","AQS","180970057","1","32.4","ppb","46","Indpls- Harding St.","21","88.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/08/2015","AQS","180970057","1","14","ppb","20","Indpls- Harding St.","20","83.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/09/2015","AQS","180970057","1","6.5","ppb","9","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/10/2015","AQS","180970057","1","24.5","ppb","34","Indpls- Harding St.","23","96.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/11/2015","AQS","180970057","1","7.4","ppb","10","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/12/2015","AQS","180970057","1","2.8","ppb","3","Indpls- Harding St.","22","92.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/13/2015","AQS","180970057","1","0.6","ppb","0","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/14/2015","AQS","180970057","1","2.2","ppb","3","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/15/2015","AQS","180970057","1","8.6","ppb","11","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
"05/16/2015","AQS","180970057","1","4.2","ppb","6","Indpls- Harding St.","24","100.0000","42401","Sulfur dioxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.7490270009277","-86.186269"
