"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/22/2019","AirNow","180970050","1","0.032","ppm","30","Indpls.- Ft. Harrison","19","79.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/25/2019","AQS","180970050","1","0.039","ppm","36","Indpls.- Ft. Harrison","15","88.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/26/2019","AQS","180970050","1","0.029","ppm","27","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/27/2019","AQS","180970050","1","0.026","ppm","24","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"02/28/2019","AQS","180970050","1","0.029","ppm","27","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/01/2019","AQS","180970050","1","0.035","ppm","32","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/02/2019","AQS","180970050","1","0.032","ppm","30","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/03/2019","AQS","180970050","1","0.033","ppm","31","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/04/2019","AQS","180970050","1","0.035","ppm","32","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/05/2019","AQS","180970050","1","0.037","ppm","34","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/06/2019","AQS","180970050","1","0.039","ppm","36","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/07/2019","AQS","180970050","1","0.03","ppm","28","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/08/2019","AirNow","180970050","1","0.03","ppm","28","Indpls.- Ft. Harrison","24","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/09/2019","AirNow","180970050","1","0.029","ppm","27","Indpls.- Ft. Harrison","20","83.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/11/2019","AQS","180970050","1","0.041","ppm","38","Indpls.- Ft. Harrison","15","88.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/12/2019","AQS","180970050","1","0.039","ppm","36","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/13/2019","AQS","180970050","1","0.036","ppm","33","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/14/2019","AQS","180970050","1","0.039","ppm","36","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/15/2019","AQS","180970050","1","0.032","ppm","30","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/16/2019","AQS","180970050","1","0.038","ppm","35","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/17/2019","AQS","180970050","1","0.035","ppm","32","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/18/2019","AQS","180970050","1","0.038","ppm","35","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/19/2019","AQS","180970050","1","0.04","ppm","37","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/20/2019","AQS","180970050","1","0.031","ppm","29","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/21/2019","AQS","180970050","1","0.027","ppm","25","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/22/2019","AQS","180970050","1","0.037","ppm","34","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/23/2019","AQS","180970050","1","0.037","ppm","34","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/24/2019","AQS","180970050","1","0.032","ppm","30","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/25/2019","AQS","180970050","1","0.034","ppm","31","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/26/2019","AQS","180970050","1","0.034","ppm","31","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/27/2019","AQS","180970050","1","0.037","ppm","34","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/28/2019","AQS","180970050","1","0.039","ppm","36","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/29/2019","AQS","180970050","1","0.031","ppm","29","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/30/2019","AQS","180970050","1","0.035","ppm","32","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"03/31/2019","AQS","180970050","1","0.036","ppm","33","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/01/2019","AQS","180970050","1","0.036","ppm","33","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/02/2019","AQS","180970050","1","0.038","ppm","35","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/03/2019","AQS","180970050","1","0.037","ppm","34","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/04/2019","AQS","180970050","1","0.036","ppm","33","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/05/2019","AQS","180970050","1","0.033","ppm","31","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/06/2019","AQS","180970050","1","0.042","ppm","39","Indpls.- Ft. Harrison","13","76.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/07/2019","AirNow","180970050","1","0.032","ppm","30","Indpls.- Ft. Harrison","20","83.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/08/2019","AQS","180970050","1","0.041","ppm","38","Indpls.- Ft. Harrison","16","94.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/09/2019","AirNow","180970050","1","0.044","ppm","41","Indpls.- Ft. Harrison","18","75.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/10/2019","AQS","180970050","1","0.027","ppm","25","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/11/2019","AQS","180970050","1","0.049","ppm","45","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/12/2019","AQS","180970050","1","0.047","ppm","44","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/13/2019","AQS","180970050","1","0.049","ppm","45","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/14/2019","AQS","180970050","1","0.038","ppm","35","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/15/2019","AQS","180970050","1","0.048","ppm","44","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/16/2019","AQS","180970050","1","0.059","ppm","64","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/17/2019","AQS","180970050","1","0.054","ppm","50","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/18/2019","AQS","180970050","1","0.043","ppm","40","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/19/2019","AQS","180970050","1","0.04","ppm","37","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/20/2019","AQS","180970050","1","0.039","ppm","36","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/21/2019","AQS","180970050","1","0.055","ppm","51","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/22/2019","AQS","180970050","1","0.056","ppm","54","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/23/2019","AQS","180970050","1","0.037","ppm","34","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/24/2019","AQS","180970050","1","0.038","ppm","35","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/25/2019","AQS","180970050","1","0.037","ppm","34","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/26/2019","AQS","180970050","1","0.051","ppm","47","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/27/2019","AQS","180970050","1","0.04","ppm","37","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/28/2019","AQS","180970050","1","0.048","ppm","44","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/29/2019","AQS","180970050","1","0.041","ppm","38","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"04/30/2019","AQS","180970050","1","0.039","ppm","36","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"05/01/2019","AQS","180970050","1","0.044","ppm","41","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"05/02/2019","AQS","180970050","1","0.038","ppm","35","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"05/03/2019","AQS","180970050","1","0.024","ppm","22","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
"05/04/2019","AQS","180970050","1","0.035","ppm","32","Indpls.- Ft. Harrison","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.8588890009284","-86.021389"
